date,campaign_id,marketing_spend,new_customers,revenue_attributed,budgeted_spend,actual_spend,brand_awareness_index,lead_quality_score,leads,conversions,conversion_rate
2025-01-01,CMP07270,2239887.64,60.89,4441793.55,688959.24,1415426.74,90.56,8.95,153.23,49.75,11.75
2025-01-02,CMP00860,435616.75,42.51,5803611.69,804220.67,1230800.26,74.43,9.78,155.31,-4.36,21.56
2025-01-03,CMP05390,1537322.99,32.37,2122782.46,1159218.14,851341.52,74.29,6.72,156.37,32.54,19.34
2025-01-04,CMP05191,545440.83,76.01,8309478.58,1017064.09,1381182.59,69.71,6.95,169.37,23.37,22.59
2025-01-05,CMP05734,1037626.6,32.21,4806950.8,1214462.61,732548.29,76.66,9.18,208.51,42.2,16.6
2025-01-06,CMP06265,1711061.83,56.3,7560114.85,1328275.18,1753657.9,86.3,8.32,237.09,42.89,26.76
2025-01-07,CMP00466,1268972.64,42.04,5782195.86,1549266.69,1040782.44,61.95,8.64,126.84,21.47,14.62
2025-01-08,CMP04426,776251.54,66.88,6043931.01,1268875.1,1328028.7,64.96,8.4,86.81,21.38,29.61
2025-01-09,CMP05578,932624.99,63.11,6303339.09,1529089.09,1363462.53,70.06,8.46,98.47,32.33,9.57
2025-01-10,CMP08322,1534448.52,81.39,6023170.25,1331930.55,1129536.03,55.06,6.48,138.6,18.03,22.21
2025-01-11,CMP01685,926126.17,41.2,6470798.26,378930.92,1494365.56,62.64,9.21,148.38,49.66,22.45
2025-01-12,CMP00769,1334629.35,47.44,8046402.48,862980.53,1036344.44,67.58,9.35,118.15,27.62,15.09
2025-01-13,CMP06949,1260901.09,29.02,5446604.47,1234496.61,1617156.36,87.01,7.75,80.09,-18.55,22.15
2025-01-14,CMP02433,960109.5,42.91,6622937.09,736676.7,660522.88,78.2,7.96,140.85,27.52,27.1
2025-01-15,CMP05311,2166233.7,64.24,4789541.59,1582078.85,1295765.2,77.21,6.25,186.96,15.44,6.86
2025-01-16,CMP05051,1514740.65,74.11,8301106.51,2016931.19,2077780.93,86.67,8.6,216.87,4.66,22.6
2025-01-17,CMP06420,367501.31,30.49,3442952.82,1871179.24,809651.2,72.45,8.67,133.52,11.83,5.25
2025-01-18,CMP01184,1321684.15,77.03,9129326.1,1202095.88,948829.53,80.04,7.94,143.97,36.33,14.1
2025-01-19,CMP04555,955714.75,89.65,4903340.42,1998232.85,1462962.41,72.94,9.3,106.81,58.51,29.13
2025-01-20,CMP03385,1609017.6,65.18,1711371.85,1371263.03,1318719.03,78.24,7.62,171.56,40.04,16.32
2025-01-21,CMP06396,899310.08,103.19,5289563.31,1144333.51,1392517.01,66.04,8.66,112.47,23.31,12.9
2025-01-22,CMP08666,1191736.85,34.35,3432257.91,1015246.58,1452296.77,39.34,6.84,215.29,42.63,18.55
2025-01-23,CMP09274,1459113.67,22.12,6925097.95,1160505.2,1515086.86,72.5,7.98,44.67,25.99,31.67
2025-01-24,CMP02558,1614765.25,8.25,3497509.7,1120465.38,1720014.0,94.9,7.81,147.83,21.7,9.09
2025-01-25,CMP07849,723377.23,93.3,3971365.31,1381423.41,1418053.62,87.75,8.27,195.61,13.34,13.61
2025-01-26,CMP02047,1096920.39,71.44,658339.06,1376825.4,1137149.88,88.32,7.58,187.13,2.47,28.36
2025-01-27,CMP02747,1036326.47,53.0,3957311.07,1303233.04,1531418.02,92.21,7.86,368.61,27.25,30.45
2025-01-28,CMP09167,959363.58,61.72,-568160.99,1505934.52,2060934.26,75.7,8.96,199.14,37.22,19.09
2025-01-29,CMP09998,2002936.08,25.21,1359888.43,1858044.48,1184015.14,77.27,7.51,101.22,32.58,12.52
2025-01-30,CMP00189,1415966.75,117.97,6740943.67,1745413.42,820783.36,65.54,6.16,166.93,26.77,31.83
2025-01-31,CMP02734,697237.02,57.8,6799212.56,608109.95,1718883.97,69.88,10.02,45.37,17.13,28.93
2025-02-01,CMP03005,1637246.46,57.29,5972096.17,108694.19,1189301.46,83.29,9.6,168.01,45.41,23.62
2025-02-02,CMP04658,2156833.42,73.29,2775957.96,1738296.44,303851.51,91.75,6.52,113.59,10.38,14.99
2025-02-03,CMP01899,1686691.51,66.94,4886002.63,663245.04,1606855.34,72.42,8.8,240.04,48.46,19.41
2025-02-04,CMP07734,585714.47,60.26,4987248.29,1196806.33,1010274.57,67.95,7.43,134.09,16.11,18.76
2025-02-05,CMP01267,1032318.88,33.91,2336652.13,755168.09,1202179.19,74.43,8.31,165.39,20.65,21.61
2025-02-06,CMP01528,1787842.06,66.69,8446359.45,459978.47,1384470.65,83.08,8.35,127.87,7.65,28.1
2025-02-07,CMP03556,935918.75,103.32,7009380.72,1554765.27,1323429.51,53.65,7.74,299.6,25.22,24.79
2025-02-08,CMP03890,1432723.09,89.39,4488324.84,1656464.69,1547328.91,41.39,7.11,150.6,52.09,13.45
2025-02-09,CMP08838,1575451.47,95.82,5057230.13,1032481.55,1053350.84,66.51,7.22,306.38,43.72,27.66
2025-02-10,CMP05393,841319.64,41.17,5473831.22,91352.29,1462616.36,56.86,6.96,232.72,52.14,21.51
2025-02-11,CMP08792,1215557.41,28.74,308998.55,1046620.9,1129259.17,67.12,7.05,208.7,43.84,23.67
2025-02-12,CMP08433,-157189.87,51.18,4428156.06,1484849.18,1559995.56,72.3,7.93,200.51,14.26,28.19
2025-02-13,CMP07513,799272.22,55.89,3430117.28,610906.62,1506736.68,67.91,7.19,202.32,28.32,13.26
2025-02-14,CMP02612,1132270.02,82.86,2696437.77,1387470.31,837648.81,95.32,8.79,34.42,20.14,19.49
2025-02-15,CMP07041,702889.28,10.49,4350290.73,1294657.72,1709781.1,79.13,9.72,153.67,58.55,16.62
2025-02-16,CMP09555,1945535.34,94.17,9121857.21,1572437.75,1010000.49,78.75,7.34,234.96,12.57,10.61
2025-02-17,CMP06235,624211.72,50.34,6466483.22,1357674.41,1589871.99,83.38,8.28,170.3,50.6,21.7
2025-02-18,CMP05486,1051384.26,43.36,3684455.36,847221.22,1399703.68,58.04,8.58,72.21,50.59,34.24
2025-02-19,CMP07099,1297646.73,28.16,6309801.68,1860812.57,2034314.84,89.38,8.55,170.05,67.63,9.04
2025-02-20,CMP09670,1863069.76,11.46,8207543.5,1227749.73,1144826.01,73.34,8.1,297.09,26.89,19.51
2025-02-21,CMP00775,621743.52,75.82,7117885.64,1289054.16,1090528.29,84.07,8.86,264.02,47.3,23.4
2025-02-22,CMP08226,1743080.74,56.35,5132390.65,865815.05,1232860.84,59.01,8.56,169.35,75.85,20.41
2025-02-23,CMP03152,1245654.34,20.94,3510563.88,1094721.77,1110433.88,52.07,6.59,242.65,23.1,19.04
2025-02-24,CMP01585,817772.15,20.81,6598192.08,888456.57,1586370.42,86.19,9.01,147.33,6.41,12.17
2025-02-25,CMP03943,1440611.66,45.72,5898708.48,1221014.78,543889.9,79.84,9.03,50.6,0.13,21.04
2025-02-26,CMP07555,1327122.68,97.79,7050309.14,2101469.21,786633.13,61.45,7.13,106.97,47.31,15.31
2025-02-27,CMP03073,982278.65,47.7,6453466.09,660898.7,780540.9,61.91,8.05,286.87,0.08,7.01
2025-02-28,CMP01021,1271355.11,15.4,7404619.93,548002.23,1651244.98,90.62,8.79,154.02,27.57,26.61
2025-03-01,CMP03843,1074997.64,48.06,3766959.32,1989096.95,1979275.25,57.31,7.77,156.23,42.3,25.24
2025-03-02,CMP07989,1290215.85,47.36,8019412.56,1204020.24,1196175.22,98.06,9.24,152.15,37.71,19.99
2025-03-03,CMP09692,1526912.43,-15.6,5449079.87,989239.18,1168402.02,61.47,10.73,311.55,42.08,21.02
2025-03-04,CMP06873,1925518.66,53.03,9758990.57,1787622.5,1271463.01,83.61,7.11,291.44,38.38,25.91
2025-03-05,CMP05675,707189.79,48.45,3413582.49,1018884.5,1742526.14,69.7,6.42,334.31,57.61,20.99
2025-03-06,CMP00161,2161526.33,72.53,8980181.27,2154867.34,841137.29,83.11,8.36,162.33,17.01,24.93
2025-03-07,CMP04297,399020.45,102.47,5449794.14,1618516.79,1344082.49,66.6,8.84,195.22,22.02,17.97
2025-03-08,CMP00995,1175752.39,83.7,3500277.85,1073872.36,1661983.66,72.08,7.74,64.14,20.28,27.29
2025-03-09,CMP07629,1495065.97,47.46,3884824.68,2309640.13,1457434.01,75.02,9.68,280.66,49.44,21.55
2025-03-10,CMP09467,1362471.93,25.71,4260204.66,1018838.07,1323033.41,60.01,6.47,89.38,50.72,20.82
2025-03-11,CMP01016,972578.62,121.28,5969131.45,1648494.87,1673135.86,85.09,8.8,189.52,42.55,12.34
2025-03-12,CMP07869,1151445.99,55.98,6195613.68,1441630.6,74942.77,67.04,7.31,94.47,55.87,21.35
2025-03-13,CMP06439,1028536.45,54.81,3678668.73,1909944.76,1533705.38,71.14,9.98,131.25,12.91,14.88
2025-03-14,CMP07892,986960.75,53.82,4939614.83,2031301.52,959041.53,60.12,10.3,113.28,64.67,16.0
2025-03-15,CMP06863,1607796.07,59.59,9912801.54,1316761.41,451421.58,37.56,7.13,129.87,62.05,14.97
2025-03-16,CMP07916,1395271.95,50.7,8960852.87,949835.65,1461795.24,71.68,7.38,134.84,47.72,13.52
2025-03-17,CMP08529,942286.82,39.55,5997037.81,1516695.3,1833897.71,109.14,9.0,134.18,66.76,32.0
2025-03-18,CMP00878,1629367.38,40.24,5082749.13,985201.6,1181937.84,85.72,7.56,234.11,4.2,27.4
2025-03-19,CMP09268,1373822.24,53.59,5271032.66,2242404.54,1652352.48,74.15,7.96,93.93,24.8,30.81
2025-03-20,CMP04887,1591944.79,40.33,6403762.73,1365595.26,1936849.04,70.64,8.04,189.79,20.96,12.61
2025-03-21,CMP04859,1512889.67,35.93,2647839.11,1131142.68,1808552.85,74.75,5.8,261.93,47.47,20.11
2025-03-22,CMP06331,883573.43,57.21,4404745.32,1388087.16,1948794.14,82.3,7.99,136.72,15.23,12.2
2025-03-23,CMP08571,999551.92,47.82,1165514.38,672472.77,1561426.67,57.44,7.22,121.91,48.12,15.66
2025-03-24,CMP08684,1563655.57,93.51,5911878.66,847900.9,1273784.82,90.46,7.44,157.16,59.28,14.38
2025-03-25,CMP07208,1504580.65,-14.41,6481065.83,1862607.63,550078.89,84.72,9.67,259.16,46.99,26.87
2025-03-26,CMP05276,1232221.44,82.79,3886429.99,994928.6,1135076.86,84.76,6.56,187.88,39.5,17.4
2025-03-27,CMP02062,1291859.67,86.81,8608385.46,812724.42,877424.65,80.74,8.94,135.42,16.37,25.88
2025-03-28,CMP00064,1792481.71,0.59,2181942.55,1552518.2,2177882.13,74.71,7.69,208.83,18.93,23.19
2025-03-29,CMP08006,986008.71,45.54,1634248.23,1855735.67,1165354.25,84.11,7.69,94.11,57.08,33.03
2025-03-30,CMP02568,1477281.87,44.8,5510715.4,1637683.58,1294395.46,82.94,8.92,223.12,48.52,11.13
2025-03-31,CMP05463,1154004.29,17.89,7398986.17,1767133.82,1479175.05,69.33,8.4,203.39,33.63,26.99
2025-04-01,CMP02027,1147321.83,34.24,8860739.6,948257.92,1260051.4,66.17,8.66,151.57,26.74,26.33
2025-04-02,CMP02695,1715301.32,25.6,3942212.32,637582.46,1972560.95,75.89,9.12,113.19,-2.52,14.06
2025-04-03,CMP09687,1597361.25,99.95,7471479.48,2003188.36,972600.26,96.71,7.63,109.71,14.86,25.53
2025-04-04,CMP05258,1592224.16,78.75,4907126.57,1151063.62,1325201.79,56.6,7.31,212.52,69.12,21.64
2025-04-05,CMP05618,1804481.89,87.47,4599275.42,1184628.32,920903.97,53.31,6.76,262.72,11.04,18.38
2025-04-06,CMP06736,1250301.34,73.19,7023836.1,1922302.74,671721.97,76.8,7.06,127.74,37.79,14.92
2025-04-07,CMP00391,1535464.67,25.12,6492834.0,1561664.11,977294.5,75.16,11.4,206.99,52.67,15.53
2025-04-08,CMP05892,1107376.24,40.82,1377128.13,1514787.2,1225259.99,76.92,9.44,22.89,11.51,31.56
2025-04-09,CMP03561,1381099.35,67.15,8384710.75,2313234.59,1056018.96,77.94,6.46,131.55,37.7,19.7
2025-04-10,CMP06184,1185089.74,22.7,8163325.48,1001177.49,942497.64,71.22,6.49,171.59,51.4,24.22
2025-04-11,CMP03099,1283087.78,72.96,3559625.11,1735269.28,634490.43,95.86,8.56,108.04,34.57,15.11
2025-04-12,CMP06278,1498016.97,48.2,5904029.47,1328444.86,1205383.84,51.39,8.64,106.1,86.53,15.18
2025-04-13,CMP08392,888221.96,44.71,6129495.11,1427288.33,592034.97,62.51,8.64,125.54,3.98,25.96
2025-04-14,CMP03104,2143989.76,72.91,5593857.85,2015864.92,1569161.83,72.94,7.72,194.97,53.6,11.88
2025-04-15,CMP07215,807197.98,65.98,3732368.36,1539055.75,1276807.57,50.79,7.86,160.29,31.2,17.29
2025-04-16,CMP02454,717383.5,45.07,3453899.24,1553285.91,612385.75,71.9,8.39,11.96,48.38,19.89
2025-04-17,CMP08996,1740900.7,84.55,4936861.6,1802853.49,1107832.57,98.33,8.11,20.46,42.37,20.34
2025-04-18,CMP02731,1582798.4,26.37,7687354.03,1131314.99,916725.07,74.73,5.46,129.94,21.0,18.66
2025-04-19,CMP08154,1510512.83,70.44,6243276.09,909756.28,1378945.64,77.75,7.74,206.94,38.51,21.99
2025-04-20,CMP09762,1512335.98,69.85,4144823.68,813706.31,1819570.23,56.3,7.03,-24.88,0.54,23.71
2025-04-21,CMP05056,1235955.53,46.4,6766844.65,383186.83,432205.19,65.56,8.21,137.69,45.32,23.95
2025-04-22,CMP08110,854123.25,62.91,-1542916.61,2262408.71,1290866.79,69.03,11.44,135.78,39.76,13.98
2025-04-23,CMP03840,1273944.85,21.95,7632349.56,786423.96,1172150.81,69.86,8.43,274.25,45.96,18.05
2025-04-24,CMP01028,949081.17,78.44,1002246.02,1198446.93,1530885.78,92.87,7.65,145.99,53.59,26.61
2025-04-25,CMP07385,1661950.05,49.64,4163584.57,1172491.1,1333222.0,82.45,9.07,201.54,41.03,24.87
2025-04-26,CMP00502,1177792.14,40.87,2425470.66,1445421.27,916805.79,58.44,8.56,184.05,37.03,11.74
2025-04-27,CMP06910,885082.54,81.69,2023755.88,1682898.14,1103585.05,77.97,8.49,19.74,18.31,21.73
2025-04-28,CMP09062,1102578.96,36.15,7660034.11,1703797.59,897797.81,81.59,8.71,229.4,21.38,8.24
2025-04-29,CMP06938,1419396.63,17.86,3921974.26,1029413.62,1705477.44,90.83,10.37,189.42,55.93,19.96
2025-04-30,CMP04488,998023.09,14.02,5790868.96,1223735.74,1250434.14,97.17,6.71,210.6,60.47,30.68
2025-05-01,CMP00206,886496.3,70.18,4887817.75,1433822.96,2061498.91,59.82,8.55,457.8,30.01,14.2
2025-05-02,CMP05134,1346377.01,21.19,6090498.39,1185628.94,1215067.52,62.76,6.94,23.1,35.18,14.86
2025-05-03,CMP05977,1346928.99,100.02,5171851.4,2052713.97,935600.64,56.33,8.65,298.58,17.88,24.12
2025-05-04,CMP07721,1022521.14,0.37,2050586.93,1531178.89,588154.54,71.06,6.95,153.05,55.68,10.76
2025-05-05,CMP07035,1038012.13,98.5,7282309.56,1645123.02,463283.4,81.14,7.53,194.62,46.45,16.03
2025-05-06,CMP01484,1341356.17,59.92,3862167.75,1611488.4,557771.5,88.63,7.67,170.54,69.66,23.15
2025-05-07,CMP07858,616470.31,51.93,1422599.82,1850022.04,1356489.85,73.33,9.13,143.15,18.36,16.02
2025-05-08,CMP00863,633995.86,40.29,4012838.52,1386377.9,1460726.3,69.83,9.06,132.62,27.46,18.33
2025-05-09,CMP02790,931270.03,64.81,8440303.12,695968.79,559042.21,76.61,6.58,197.67,38.55,24.0
2025-05-10,CMP07408,1149148.59,53.47,6947083.36,1488532.32,1627399.31,62.41,8.07,64.11,46.1,22.13
2025-05-11,CMP08755,1375378.91,83.1,4195234.86,997515.5,1032824.97,104.49,7.19,228.12,30.42,21.24
2025-05-12,CMP05116,1877774.68,57.41,4193844.86,1054856.07,1304572.48,51.3,6.56,143.74,18.46,17.73
2025-05-13,CMP06019,1611272.46,58.35,4257248.82,1575741.82,1936824.17,77.08,7.76,92.1,50.38,21.84
2025-05-14,CMP01757,1172234.63,45.0,9762404.03,1880298.97,1628176.35,103.54,7.65,141.29,47.46,18.98
2025-05-15,CMP07574,1233034.89,52.97,5872197.21,1311747.47,1125383.08,74.52,10.8,264.76,17.67,22.34
2025-05-16,CMP06374,808702.86,62.44,5982618.3,1446087.6,856738.74,71.69,8.51,135.12,59.0,16.82
2025-05-17,CMP06892,1233251.93,10.03,7360390.02,2097034.11,312848.93,69.28,6.43,199.76,55.63,18.64
2025-05-18,CMP01678,1116698.96,19.43,5543624.77,1414282.74,930964.1,71.83,7.36,120.97,36.78,13.96
2025-05-19,CMP03242,1380474.71,73.75,4400922.14,2517238.83,1150148.21,94.18,9.18,228.65,35.79,19.49
2025-05-20,CMP04636,884334.53,58.88,4544823.61,1565999.28,815325.48,42.6,10.41,223.42,44.42,15.0
2025-05-21,CMP01059,1465308.89,49.67,4831166.67,479234.14,1184609.15,96.49,6.19,307.54,18.66,13.24
2025-05-22,CMP06668,1902532.17,54.92,4910078.94,1653748.78,1274396.71,53.94,5.85,161.14,34.89,21.19
2025-05-23,CMP09914,1194315.29,63.47,6665689.99,1479875.86,1144226.3,70.59,10.16,222.2,-4.82,20.93
2025-05-24,CMP03157,1414555.93,40.43,5114751.99,1904344.07,960798.85,68.25,8.46,180.93,50.29,24.23
2025-05-25,CMP05915,1538998.64,34.23,6677190.98,1616300.29,1314004.58,82.89,7.01,267.56,5.93,17.2
2025-05-26,CMP09789,1068134.69,59.53,4810243.72,1237127.52,1431912.5,51.43,8.62,121.85,61.69,22.06
2025-05-27,CMP02693,1337922.96,29.03,5176013.58,729854.38,770791.9,81.08,4.98,227.72,28.33,22.88
2025-05-28,CMP03627,1246672.27,65.05,408925.23,1204160.59,1849979.32,103.55,8.01,159.76,30.49,22.27
2025-05-29,CMP09555,1283381.22,10.22,7098820.35,904472.22,1198703.96,54.81,8.39,169.19,22.92,14.91
2025-05-30,CMP05450,907727.98,81.17,5790833.6,1030606.77,1249371.92,77.16,9.07,180.47,29.1,20.56
2025-05-31,CMP01663,1251814.13,66.72,7286311.04,1576776.31,1546795.04,64.9,6.84,192.08,60.15,21.8
2025-06-01,CMP09721,1456098.3,61.09,-1652434.62,2081939.64,1341859.31,80.55,8.11,165.43,-10.92,19.73
2025-06-02,CMP05592,1867328.27,79.97,9789091.55,1486188.8,1652465.55,74.7,6.95,189.37,57.57,7.61
2025-06-03,CMP07392,1655112.12,97.7,4675108.81,743129.1,1365117.68,65.2,8.3,287.98,40.49,20.62
2025-06-04,CMP01306,2170219.55,80.79,7539197.19,1509515.14,977006.18,81.45,6.98,245.11,12.38,32.51
2025-06-05,CMP06776,910170.92,6.63,2608557.77,1860840.59,1397208.29,100.39,7.54,236.7,14.78,17.61
2025-06-06,CMP05864,1617597.88,21.21,6402054.83,1016937.63,747784.17,71.68,6.86,140.89,64.84,15.48
2025-06-07,CMP09474,1320341.36,38.22,2577548.27,1239201.2,1288076.9,84.78,8.76,109.52,17.14,21.86
2025-06-08,CMP07526,2186019.28,55.12,3563742.39,1308671.91,1226902.42,55.82,9.0,242.93,13.36,21.5
2025-06-09,CMP08901,892502.93,67.89,9388910.6,935128.93,1151448.32,60.67,7.74,237.2,55.03,26.6
2025-06-10,CMP05575,878945.39,35.6,4557832.45,1604667.32,1185782.45,81.22,8.05,280.35,40.5,12.41
2025-06-11,CMP05530,982634.26,59.3,5494604.39,1245306.65,429324.62,95.78,6.34,130.15,17.28,23.93
2025-06-12,CMP04413,324894.74,34.83,6992637.07,1497803.08,1004494.61,79.54,7.66,157.23,38.28,23.11
2025-06-13,CMP03748,1014404.86,38.56,6133286.36,887200.13,1281296.82,69.92,7.95,55.26,15.68,18.87
2025-06-14,CMP00663,913715.2,17.91,5340783.13,1097442.55,1310208.61,74.42,11.02,145.45,54.37,21.65
2025-06-15,CMP01998,1306126.01,30.47,5833234.72,1639285.07,797853.84,56.44,6.73,245.91,53.65,25.65
2025-06-16,CMP07994,1388688.31,19.34,10512224.15,1127633.49,1787322.9,83.12,9.69,140.1,44.02,24.74
2025-06-17,CMP01495,2050704.22,29.1,4863261.47,2108596.07,867532.36,87.12,9.15,220.16,40.92,13.07
2025-06-18,CMP03304,1651295.13,81.81,5457112.35,1115111.91,1659506.98,67.92,8.33,160.06,66.38,24.44
2025-06-19,CMP03763,992337.03,29.79,7407148.69,1406776.03,1425550.29,67.66,10.03,197.27,34.33,19.32
2025-06-20,CMP05232,853622.65,122.81,7533098.68,1737488.67,962427.67,78.25,8.44,90.83,12.84,20.12
2025-06-21,CMP01853,1453475.5,67.26,7720180.65,639191.83,2007188.68,68.14,8.46,180.0,42.52,20.12
2025-06-22,CMP06585,671631.07,59.24,6461633.95,479212.63,726250.47,73.48,7.95,-42.5,72.29,18.82
2025-06-23,CMP01291,2031413.41,32.15,2371908.36,589068.87,1637803.98,104.64,9.41,160.32,15.88,26.59
2025-06-24,CMP03581,1750103.1,72.63,8744832.68,1891651.69,1672935.76,70.87,9.27,55.91,27.76,19.21
2025-06-25,CMP07554,1038815.76,39.49,2364240.75,1043998.35,951903.47,69.27,7.29,261.06,41.92,13.21
2025-06-26,CMP07280,502115.68,57.61,5690175.1,2496924.49,1842011.79,65.11,6.49,230.06,33.36,17.41
2025-06-27,CMP01636,1825361.06,120.94,3264181.95,1038210.36,1133357.97,85.13,7.78,207.59,16.47,20.73
2025-06-28,CMP03696,1191821.67,51.95,4848296.75,1388026.89,1365794.81,71.82,7.09,283.84,54.75,26.81
2025-06-29,CMP00698,1775289.23,84.29,5750145.88,2022237.83,1353553.94,65.08,7.94,105.21,76.55,23.19
2025-06-30,CMP04737,553331.19,36.18,5733148.28,2238996.83,1183292.48,93.44,9.43,300.22,37.91,14.77
